age	year common era	
total ring width	millimeter	Tree ID: 1236335c;
total ring width	millimeter	Tree ID: 1236401a;
total ring width	millimeter	Tree ID: 1236401b;
total ring width	millimeter	Tree ID: 1236401c;
total ring width	millimeter	Tree ID: 1236401d;
total ring width	millimeter	Tree ID: 1236402a;
total ring width	millimeter	Tree ID: 1236402b;
total ring width	millimeter	Tree ID: 1236402c;
total ring width	millimeter	Tree ID: 1236404a;
total ring width	millimeter	Tree ID: 1236404b;
total ring width	millimeter	Tree ID: 1236405a;
total ring width	millimeter	Tree ID: 1236405b;
total ring width	millimeter	Tree ID: 1236406a;
total ring width	millimeter	Tree ID: 1236406b;
total ring width	millimeter	Tree ID: 1236407a;
total ring width	millimeter	Tree ID: 1236407b;
total ring width	millimeter	Tree ID: 1236408a;
total ring width	millimeter	Tree ID: 1236408b;
total ring width	millimeter	Tree ID: 1236408c;
total ring width	millimeter	Tree ID: 1236409a;
total ring width	millimeter	Tree ID: 1236409b;
total ring width	millimeter	Tree ID: 1236410a;
total ring width	millimeter	Tree ID: 1236410b;
total ring width	millimeter	Tree ID: 1236411a;
total ring width	millimeter	Tree ID: 1236411b;
total ring width	millimeter	Tree ID: 1236412a;
total ring width	millimeter	Tree ID: 1236412b;
total ring width	millimeter	Tree ID: 1236501a;
total ring width	millimeter	Tree ID: 1236501b;
total ring width	millimeter	Tree ID: 1236502a;
total ring width	millimeter	Tree ID: 1236502b;
total ring width	millimeter	Tree ID: 1236502c;
total ring width	millimeter	Tree ID: 1236503a;
total ring width	millimeter	Tree ID: 1236503b;
total ring width	millimeter	Tree ID: 1236504b;
total ring width	millimeter	Tree ID: 1236505a;
total ring width	millimeter	Tree ID: 1236505b;
total ring width	millimeter	Tree ID: 1236506a;
total ring width	millimeter	Tree ID: 1236506b;
total ring width	millimeter	Tree ID: 1236507a;
total ring width	millimeter	Tree ID: 1236507b;
total ring width	millimeter	Tree ID: 1236508a;
total ring width	millimeter	Tree ID: 1236508b;
total ring width	millimeter	Tree ID: 1236509a;
total ring width	millimeter	Tree ID: 1236509b;
total ring width	millimeter	Tree ID: 1236510a;
total ring width	millimeter	Tree ID: 1236510b;
total ring width	millimeter	Tree ID: 1236601a;
total ring width	millimeter	Tree ID: 1236601b;
total ring width	millimeter	Tree ID: 1236701a;
total ring width	millimeter	Tree ID: 1236701b;
total ring width	millimeter	Tree ID: 1236701c;
total ring width	millimeter	Tree ID: 1236701d;
total ring width	millimeter	Tree ID: 1236702a;
total ring width	millimeter	Tree ID: 1236702b;
total ring width	millimeter	Tree ID: 1236703a;
total ring width	millimeter	Tree ID: 1236703b;
total ring width	millimeter	Tree ID: 1236704a;
total ring width	millimeter	Tree ID: 1236704b;
total ring width	millimeter	Tree ID: 1236705a;
total ring width	millimeter	Tree ID: 1236705b;
total ring width	millimeter	Tree ID: 1236705c;
total ring width	millimeter	Tree ID: 1236706a;
total ring width	millimeter	Tree ID: 1236706b;
total ring width	millimeter	Tree ID: 1236708a;
total ring width	millimeter	Tree ID: 1236709b;
total ring width	millimeter	Tree ID: 1236125a;
total ring width	millimeter	Tree ID: 1236320b;
total ring width	millimeter	Tree ID: 1236709a;
total ring width	millimeter	Tree ID: 1236102a;
total ring width	millimeter	Tree ID: 1236102b;
total ring width	millimeter	Tree ID: 1236102c;
total ring width	millimeter	Tree ID: 1236103a;
total ring width	millimeter	Tree ID: 1236104a;
total ring width	millimeter	Tree ID: 1236104b;
total ring width	millimeter	Tree ID: 1236104c;
total ring width	millimeter	Tree ID: 1236104d;
total ring width	millimeter	Tree ID: 1236105a;
total ring width	millimeter	Tree ID: 1236105b;
total ring width	millimeter	Tree ID: 1236107a;
total ring width	millimeter	Tree ID: 1236107b;
total ring width	millimeter	Tree ID: 1236108a;
total ring width	millimeter	Tree ID: 1236108b;
total ring width	millimeter	Tree ID: 1236108c;
total ring width	millimeter	Tree ID: 1236108d;
total ring width	millimeter	Tree ID: 1236109a;
total ring width	millimeter	Tree ID: 1236109b;
total ring width	millimeter	Tree ID: 1236110a;
total ring width	millimeter	Tree ID: 1236110b;
total ring width	millimeter	Tree ID: 1236111a;
total ring width	millimeter	Tree ID: 1236111b;
total ring width	millimeter	Tree ID: 1236113a;
total ring width	millimeter	Tree ID: 1236113b;
total ring width	millimeter	Tree ID: 1236115a;
total ring width	millimeter	Tree ID: 1236115b;
total ring width	millimeter	Tree ID: 1236117a;
total ring width	millimeter	Tree ID: 1236117b;
total ring width	millimeter	Tree ID: 1236118a;
total ring width	millimeter	Tree ID: 1236118b;
total ring width	millimeter	Tree ID: 1236120a;
total ring width	millimeter	Tree ID: 1236120b;
total ring width	millimeter	Tree ID: 1236120c;
total ring width	millimeter	Tree ID: 1236121a;
total ring width	millimeter	Tree ID: 1236121b;
total ring width	millimeter	Tree ID: 1236122a;
total ring width	millimeter	Tree ID: 1236122b;
total ring width	millimeter	Tree ID: 1236122c;
total ring width	millimeter	Tree ID: 1236122d;
